Entity,Code,Year,"Number of daily male smokers (IHME, GHDx (2012))","Number of daily female smokers (IHME, GHDx (2012))"
Lesotho,LSO,1980,145070,5259
Lesotho,LSO,1981,149065,5328
Lesotho,LSO,1982,153015,5394
Lesotho,LSO,1983,157145,5466
Lesotho,LSO,1984,161060,5521
Lesotho,LSO,1985,164823,5566
Lesotho,LSO,1986,168484,5601
Lesotho,LSO,1987,172202,5625
Lesotho,LSO,1988,175960,5636
Lesotho,LSO,1989,179993,5643
Lesotho,LSO,1990,184508,5658
Lesotho,LSO,1991,189784,5678
Lesotho,LSO,1992,195669,5703
Lesotho,LSO,1993,201721,5725
Lesotho,LSO,1994,207274,5729
Lesotho,LSO,1995,212049,5719
Lesotho,LSO,1996,215629,5681
Lesotho,LSO,1997,216045,6002
Lesotho,LSO,1998,215815,5985
Lesotho,LSO,1999,215523,5899
Lesotho,LSO,2000,215486,5801
Lesotho,LSO,2001,215720,5691
Lesotho,LSO,2002,213544,5574
Lesotho,LSO,2003,211462,5453
Lesotho,LSO,2004,209570,5340
Lesotho,LSO,2005,207934,5252
Lesotho,LSO,2006,205604,5191
Lesotho,LSO,2007,203452,5151
Lesotho,LSO,2008,202038,5121
Lesotho,LSO,2009,202131,5062
Lesotho,LSO,2010,203518,5058
Lesotho,LSO,2011,207263,5179
Lesotho,LSO,2012,211802,5369
Liberia,LBR,1980,74861,6301
Liberia,LBR,1981,77028,6537
Liberia,LBR,1982,79418,6795
Liberia,LBR,1983,81683,7040
Liberia,LBR,1984,83425,7233
Liberia,LBR,1985,84346,7348
Liberia,LBR,1986,84374,7381
Liberia,LBR,1987,83747,7343
Liberia,LBR,1988,82640,7256
Liberia,LBR,1989,81275,7147
Liberia,LBR,1990,79900,7038
Liberia,LBR,1991,78501,6909
Liberia,LBR,1992,77142,6778
Liberia,LBR,1993,76448,6700
Liberia,LBR,1994,77203,6741
Liberia,LBR,1995,79887,6940
Liberia,LBR,1996,84873,7334
Liberia,LBR,1997,90054,8108
Liberia,LBR,1998,96257,8798
Liberia,LBR,1999,102487,9418
Liberia,LBR,2000,107802,9911
Liberia,LBR,2001,111688,10244
Liberia,LBR,2002,114431,10445
Liberia,LBR,2003,116330,10572
Liberia,LBR,2004,118283,10712
Liberia,LBR,2005,120953,10936
Liberia,LBR,2006,124464,11258
Liberia,LBR,2007,128327,11643
Liberia,LBR,2008,130169,12023
Liberia,LBR,2009,131534,12411
Liberia,LBR,2010,132556,12775
Liberia,LBR,2011,133542,13128
Liberia,LBR,2012,136533,13532
Libya,LBY,1980,260518,16278
Libya,LBY,1981,265716,16655
Libya,LBY,1982,271149,16939
Libya,LBY,1983,275069,17104
Libya,LBY,1984,275678,17133
Libya,LBY,1985,275489,17193
Libya,LBY,1986,271713,17097
Libya,LBY,1987,264700,16845
Libya,LBY,1988,259783,16705
Libya,LBY,1989,257574,16727
Libya,LBY,1990,259882,17014
Libya,LBY,1991,266364,17596
Libya,LBY,1992,273151,18198
Libya,LBY,1993,279804,18864
Libya,LBY,1994,286230,19473
Libya,LBY,1995,292072,20042
Libya,LBY,1996,297877,20703
Libya,LBY,1997,319598,20331
Libya,LBY,1998,335324,20219
Libya,LBY,1999,348290,20234
Libya,LBY,2000,360646,20335
Libya,LBY,2001,370694,20413
Libya,LBY,2002,380712,20450
Libya,LBY,2003,393910,20568
Libya,LBY,2004,410088,20698
Libya,LBY,2005,431304,20851
Libya,LBY,2006,459466,21054
Libya,LBY,2007,512447,20041
Libya,LBY,2008,569717,20373
Libya,LBY,2009,623766,20617
Libya,LBY,2010,650034,20896
Libya,LBY,2011,643806,20370
Libya,LBY,2012,648700,20424
Lithuania,LTU,1980,430684,118480
Lithuania,LTU,1981,436336,119097
Lithuania,LTU,1982,441644,119528
Lithuania,LTU,1983,446481,119807
Lithuania,LTU,1984,451593,120039
Lithuania,LTU,1985,457041,120251
Lithuania,LTU,1986,462505,120378
Lithuania,LTU,1987,468263,120289
Lithuania,LTU,1988,473456,119934
Lithuania,LTU,1989,477746,119325
Lithuania,LTU,1990,481157,118335
Lithuania,LTU,1991,484510,117347
Lithuania,LTU,1992,489915,117036
Lithuania,LTU,1993,496513,117302
Lithuania,LTU,1994,504375,118709
Lithuania,LTU,1995,515017,124110
Lithuania,LTU,1996,524105,130357
Lithuania,LTU,1997,530719,140797
Lithuania,LTU,1998,534411,151369
Lithuania,LTU,1999,535305,161422
Lithuania,LTU,2000,532885,170223
Lithuania,LTU,2001,527695,176672
Lithuania,LTU,2002,522675,182825
Lithuania,LTU,2003,518785,188990
Lithuania,LTU,2004,516565,195101
Lithuania,LTU,2005,518536,201132
Lithuania,LTU,2006,516300,203477
Lithuania,LTU,2007,516645,206282
Lithuania,LTU,2008,518012,209193
Lithuania,LTU,2009,521520,212353
Lithuania,LTU,2010,514365,208063
Lithuania,LTU,2011,513624,206636
Lithuania,LTU,2012,512422,204676
Luxembourg,LUX,1980,55703,40492
Luxembourg,LUX,1981,55826,40383
Luxembourg,LUX,1982,55914,40246
Luxembourg,LUX,1983,56038,40068
Luxembourg,LUX,1984,56044,39781
Luxembourg,LUX,1985,55982,39547
Luxembourg,LUX,1986,55818,39424
Luxembourg,LUX,1987,55693,39437
Luxembourg,LUX,1988,55597,39611
Luxembourg,LUX,1989,55283,39857
Luxembourg,LUX,1990,54253,40469
Luxembourg,LUX,1991,53134,41190
Luxembourg,LUX,1992,52225,41682
Luxembourg,LUX,1993,51522,42142
Luxembourg,LUX,1994,51656,42777
Luxembourg,LUX,1995,52513,43102
Luxembourg,LUX,1996,53800,43341
Luxembourg,LUX,1997,55196,43354
Luxembourg,LUX,1998,56381,43327
Luxembourg,LUX,1999,57230,43373
Luxembourg,LUX,2000,57679,43791
Luxembourg,LUX,2001,58001,44275
Luxembourg,LUX,2002,58233,44518
Luxembourg,LUX,2003,58005,44202
Luxembourg,LUX,2004,57372,43754
Luxembourg,LUX,2005,56663,43425
Luxembourg,LUX,2006,57233,43653
Luxembourg,LUX,2007,58060,43944
Luxembourg,LUX,2008,58344,43886
Luxembourg,LUX,2009,58961,44051
Luxembourg,LUX,2010,59353,44378
Luxembourg,LUX,2011,59891,44919
Luxembourg,LUX,2012,60575,45617
Madagascar,MDG,1980,899847,152079
Madagascar,MDG,1981,919754,156224
Madagascar,MDG,1982,940026,160452
Madagascar,MDG,1983,962341,164944
Madagascar,MDG,1984,986246,169581
Madagascar,MDG,1985,1011731,174606
Madagascar,MDG,1986,1039170,180293
Madagascar,MDG,1987,1068206,186498
Madagascar,MDG,1988,1099358,193389
Madagascar,MDG,1989,1132996,201207
Madagascar,MDG,1990,1168238,209764
Madagascar,MDG,1991,1203954,218946
Madagascar,MDG,1992,1242509,229148
Madagascar,MDG,1993,1284639,240517
Madagascar,MDG,1994,1330033,253144
Madagascar,MDG,1995,1378157,267054
Madagascar,MDG,1996,1429024,282257
Madagascar,MDG,1997,1438892,264074
Madagascar,MDG,1998,1458062,251947
Madagascar,MDG,1999,1485325,244918
Madagascar,MDG,2000,1517375,241053
Madagascar,MDG,2001,1550951,238183
Madagascar,MDG,2002,1579209,233626
Madagascar,MDG,2003,1603979,226437
Madagascar,MDG,2004,1622564,214837
Madagascar,MDG,2005,1591283,177422
Madagascar,MDG,2006,1557983,144708
Madagascar,MDG,2007,1527324,118339
Madagascar,MDG,2008,1505121,98814
Madagascar,MDG,2009,1501540,85447
Madagascar,MDG,2010,1537782,84775
Madagascar,MDG,2011,1586440,86419
Madagascar,MDG,2012,1647104,89746
Malawi,MWI,1980,371594,57351
Malawi,MWI,1981,378785,58939
Malawi,MWI,1982,384633,60337
Malawi,MWI,1983,391756,61855
Malawi,MWI,1984,403763,63953
Malawi,MWI,1985,422525,66806
Malawi,MWI,1986,449178,70564
Malawi,MWI,1987,482239,75190
Malawi,MWI,1988,517563,80208
Malawi,MWI,1989,549646,85018
Malawi,MWI,1990,574899,89079
Malawi,MWI,1991,591886,92333
Malawi,MWI,1992,601785,94796
Malawi,MWI,1993,607669,96908
Malawi,MWI,1994,612752,99217
Malawi,MWI,1995,620482,102219
Malawi,MWI,1996,631371,106049
Malawi,MWI,1997,636923,105290
Malawi,MWI,1998,643841,104993
Malawi,MWI,1999,650526,104701
Malawi,MWI,2000,655825,104012
Malawi,MWI,2001,652485,99906
Malawi,MWI,2002,650209,95931
Malawi,MWI,2003,649950,92243
Malawi,MWI,2004,653935,86679
Malawi,MWI,2005,659636,82286
Malawi,MWI,2006,665781,80069
Malawi,MWI,2007,672867,78398
Malawi,MWI,2008,681866,77229
Malawi,MWI,2009,693832,76386
Malawi,MWI,2010,712581,76009
Malawi,MWI,2011,736290,77092
Malawi,MWI,2012,763734,78562
Malaysia,MYS,1980,1915890,78128
Malaysia,MYS,1981,1954667,79786
Malaysia,MYS,1982,1994666,81482
Malaysia,MYS,1983,2037807,83239
Malaysia,MYS,1984,2085751,85135
Malaysia,MYS,1985,2147287,87440
Malaysia,MYS,1986,2220878,90027
Malaysia,MYS,1987,2301490,92751
Malaysia,MYS,1988,2382318,95532
Malaysia,MYS,1989,2459671,98290
Malaysia,MYS,1990,2532665,101079
Malaysia,MYS,1991,2599209,103847
Malaysia,MYS,1992,2661062,106706
Malaysia,MYS,1993,2721356,109634
Malaysia,MYS,1994,2780995,112402
Malaysia,MYS,1995,2843883,115043
Malaysia,MYS,1996,2911492,117762
Malaysia,MYS,1997,2967729,119752
Malaysia,MYS,1998,3040727,121515
Malaysia,MYS,1999,3112802,123234
Malaysia,MYS,2000,3177389,125135
Malaysia,MYS,2001,3240366,127567
Malaysia,MYS,2002,3294540,130441
Malaysia,MYS,2003,3340204,133334
Malaysia,MYS,2004,3355798,136011
Malaysia,MYS,2005,3374993,137900
Malaysia,MYS,2006,3423431,135255
Malaysia,MYS,2007,3481139,131992
Malaysia,MYS,2008,3549204,128566
Malaysia,MYS,2009,3634684,125875
Malaysia,MYS,2010,3740853,124075
Malaysia,MYS,2011,3854044,123611
Malaysia,MYS,2012,3958265,127663
Maldives,MDV,1980,14362,3317
Maldives,MDV,1981,14766,3441
Maldives,MDV,1982,15210,3565
Maldives,MDV,1983,15665,3692
Maldives,MDV,1984,16086,3810
Maldives,MDV,1985,16470,3926
Maldives,MDV,1986,16825,4042
Maldives,MDV,1987,17156,4163
Maldives,MDV,1988,17458,4289
Maldives,MDV,1989,17744,4416
Maldives,MDV,1990,18034,4548
Maldives,MDV,1991,18320,4683
Maldives,MDV,1992,18615,4825
Maldives,MDV,1993,18945,4980
Maldives,MDV,1994,19302,5152
Maldives,MDV,1995,19729,5356
Maldives,MDV,1996,20215,5597
Maldives,MDV,1997,21084,5616
Maldives,MDV,1998,21937,5700
Maldives,MDV,1999,22795,5824
Maldives,MDV,2000,23687,5971
Maldives,MDV,2001,24638,6126
Maldives,MDV,2002,25659,6273
Maldives,MDV,2003,26750,6404
Maldives,MDV,2004,27971,6499
Maldives,MDV,2005,29623,6422
Maldives,MDV,2006,31391,6353
Maldives,MDV,2007,33242,6316
Maldives,MDV,2008,35138,6323
Maldives,MDV,2009,37035,6394
Maldives,MDV,2010,38536,6626
Maldives,MDV,2011,39919,6900
Maldives,MDV,2012,41251,7199
Mali,MLI,1980,334979,59944
Mali,MLI,1981,339569,60838
Mali,MLI,1982,344794,61786
Mali,MLI,1983,350084,62721
Mali,MLI,1984,354421,63635
Mali,MLI,1985,357320,64498
Mali,MLI,1986,358398,65256
Mali,MLI,1987,358189,65898
Mali,MLI,1988,358130,66470
Mali,MLI,1989,359870,67089
Mali,MLI,1990,364012,67850
Mali,MLI,1991,370677,68652
Mali,MLI,1992,379710,69624
Mali,MLI,1993,390753,70711
Mali,MLI,1994,403029,71805
Mali,MLI,1995,415846,72918
Mali,MLI,1996,428782,74022
Mali,MLI,1997,439113,75658
Mali,MLI,1998,450565,77206
Mali,MLI,1999,463439,78810
Mali,MLI,2000,477575,80476
Mali,MLI,2001,492787,82306
Mali,MLI,2002,508580,84382
Mali,MLI,2003,525357,86757
Mali,MLI,2004,540692,90496
Mali,MLI,2005,556885,94518
Mali,MLI,2006,573861,98679
Mali,MLI,2007,592185,101740
Mali,MLI,2008,611645,104813
Mali,MLI,2009,632464,107847
Mali,MLI,2010,653266,110698
Mali,MLI,2011,673140,113256
Mali,MLI,2012,692525,115719
Malta,MLT,1980,37788,27801
Malta,MLT,1981,38904,28238
Malta,MLT,1982,40164,28648
Malta,MLT,1983,41549,29079
Malta,MLT,1984,42981,29530
Malta,MLT,1985,44406,30022
Malta,MLT,1986,45782,30518
Malta,MLT,1987,47051,30989
Malta,MLT,1988,48116,31387
Malta,MLT,1989,49018,31722
Malta,MLT,1990,49817,32016
Malta,MLT,1991,50490,32248
Malta,MLT,1992,51090,32420
Malta,MLT,1993,51597,32550
Malta,MLT,1994,51948,32647
Malta,MLT,1995,52135,32705
Malta,MLT,1996,52239,32746
Malta,MLT,1997,51804,32529
Malta,MLT,1998,51423,32342
Malta,MLT,1999,51020,32145
Malta,MLT,2000,50495,31871
Malta,MLT,2001,50109,31620
Malta,MLT,2002,49705,31393
Malta,MLT,2003,48867,30954
Malta,MLT,2004,48087,30611
Malta,MLT,2005,47301,30341
Malta,MLT,2006,46681,30216
Malta,MLT,2007,46224,30181
Malta,MLT,2008,46019,30222
Malta,MLT,2009,46897,30431
Malta,MLT,2010,47448,30696
Malta,MLT,2011,48166,31015
Malta,MLT,2012,48998,31356
Marshall Islands,MHL,1980,2879,377
Marshall Islands,MHL,1981,3030,397
Marshall Islands,MHL,1982,3162,415
Marshall Islands,MHL,1983,3306,434
Marshall Islands,MHL,1984,3461,455
Marshall Islands,MHL,1985,3631,478
Marshall Islands,MHL,1986,3805,502
Marshall Islands,MHL,1987,3986,528
Marshall Islands,MHL,1988,4177,555
Marshall Islands,MHL,1989,4315,575
Marshall Islands,MHL,1990,4439,593
Marshall Islands,MHL,1991,4564,610
Marshall Islands,MHL,1992,4665,625
Marshall Islands,MHL,1993,4756,638
Marshall Islands,MHL,1994,4837,651
Marshall Islands,MHL,1995,4906,661
Marshall Islands,MHL,1996,4978,671
Marshall Islands,MHL,1997,5036,684
Marshall Islands,MHL,1998,5105,698
Marshall Islands,MHL,1999,5177,713
Marshall Islands,MHL,2000,5253,728
Marshall Islands,MHL,2001,5342,747
Marshall Islands,MHL,2002,5448,769
Marshall Islands,MHL,2003,5536,794
Marshall Islands,MHL,2004,5621,820
Marshall Islands,MHL,2005,5705,844
Marshall Islands,MHL,2006,5789,870
Marshall Islands,MHL,2007,5874,895
Marshall Islands,MHL,2008,5961,919
Marshall Islands,MHL,2009,6059,944
Marshall Islands,MHL,2010,6186,969
Marshall Islands,MHL,2011,6318,994
Marshall Islands,MHL,2012,6457,1020
Mauritania,MRT,1980,65450,12290
Mauritania,MRT,1981,67633,12673
Mauritania,MRT,1982,69998,13079
Mauritania,MRT,1983,72451,13507
Mauritania,MRT,1984,75072,13960
Mauritania,MRT,1985,77737,14427
Mauritania,MRT,1986,80407,14895
Mauritania,MRT,1987,83223,15379
Mauritania,MRT,1988,86294,15915
Mauritania,MRT,1989,89577,16496
Mauritania,MRT,1990,93163,17129
Mauritania,MRT,1991,97007,17774
Mauritania,MRT,1992,101216,18477
Mauritania,MRT,1993,105732,19221
Mauritania,MRT,1994,110793,20017
Mauritania,MRT,1995,116287,20853
Mauritania,MRT,1996,122143,21724
Mauritania,MRT,1997,128482,22628
Mauritania,MRT,1998,135467,23614
Mauritania,MRT,1999,142985,24661
Mauritania,MRT,2000,151302,25800
Mauritania,MRT,2001,160271,27020
Mauritania,MRT,2002,169880,28321
Mauritania,MRT,2003,179515,29678
Mauritania,MRT,2004,187818,31013
Mauritania,MRT,2005,195963,32352
Mauritania,MRT,2006,202837,33569
Mauritania,MRT,2007,210681,34992
Mauritania,MRT,2008,218885,36462
Mauritania,MRT,2009,227752,38008
Mauritania,MRT,2010,236610,39328
Mauritania,MRT,2011,245229,40595
Mauritania,MRT,2012,253196,41876
Mauritius,MUS,1980,120481,10451
Mauritius,MUS,1981,123683,10702
Mauritius,MUS,1982,126667,10932
Mauritius,MUS,1983,129468,11151
Mauritius,MUS,1984,132145,11373
Mauritius,MUS,1985,134832,11587
Mauritius,MUS,1986,137480,11768
Mauritius,MUS,1987,140028,11918
Mauritius,MUS,1988,142540,12043
Mauritius,MUS,1989,145199,12159
Mauritius,MUS,1990,147989,12276
Mauritius,MUS,1991,150928,12423
Mauritius,MUS,1992,153987,12594
Mauritius,MUS,1993,155850,12507
Mauritius,MUS,1994,157193,12389
Mauritius,MUS,1995,158113,12265
Mauritius,MUS,1996,158509,12187
Mauritius,MUS,1997,157183,12031
Mauritius,MUS,1998,155848,11958
Mauritius,MUS,1999,152475,11728
Mauritius,MUS,2000,149018,11537
Mauritius,MUS,2001,145962,11408
Mauritius,MUS,2002,143639,11366
Mauritius,MUS,2003,142207,11442
Mauritius,MUS,2004,142599,12316
Mauritius,MUS,2005,144376,12603
Mauritius,MUS,2006,146689,12879
Mauritius,MUS,2007,149411,13133
Mauritius,MUS,2008,152409,13322
Mauritius,MUS,2009,155774,13583
Mauritius,MUS,2010,159386,13848
Mauritius,MUS,2011,163019,14107
Mauritius,MUS,2012,166616,14347
Mexico,MEX,1980,7464574,2656644
Mexico,MEX,1981,7456585,2679947
Mexico,MEX,1982,7545810,2733001
Mexico,MEX,1983,7736643,2815723
Mexico,MEX,1984,7957789,2906925
Mexico,MEX,1985,8218383,3008102
Mexico,MEX,1986,8564551,3131284
Mexico,MEX,1987,8947400,3266212
Mexico,MEX,1988,9357705,3414198
Mexico,MEX,1989,9612140,3503880
Mexico,MEX,1990,9798844,3591813
Mexico,MEX,1991,9909217,3671142
Mexico,MEX,1992,9942268,3730367
Mexico,MEX,1993,9923752,3765264
Mexico,MEX,1994,9584041,3599002
Mexico,MEX,1995,9227138,3403647
Mexico,MEX,1996,8776383,3176699
Mexico,MEX,1997,8140674,2910597
Mexico,MEX,1998,7584518,2705776
Mexico,MEX,1999,7057558,2537899
Mexico,MEX,2000,6652454,2409308
Mexico,MEX,2001,6354915,2312435
Mexico,MEX,2002,6140519,2235639
Mexico,MEX,2003,5952610,2155801
Mexico,MEX,2004,5901076,2097079
Mexico,MEX,2005,5860025,2038105
Mexico,MEX,2006,5743775,1964860
Mexico,MEX,2007,5627762,1908420
Mexico,MEX,2008,5557237,1883048
Mexico,MEX,2009,5604678,1910129
Mexico,MEX,2010,5804869,2005244
Mexico,MEX,2011,6042858,2124837
Mexico,MEX,2012,6260177,2235847
Micronesia,,1980,8107,1907
Micronesia,,1981,8421,1982
Micronesia,,1982,8757,2061
Micronesia,,1983,9107,2143
Micronesia,,1984,9469,2228
Micronesia,,1985,9810,2310
Micronesia,,1986,10133,2389
Micronesia,,1987,10446,2463
Micronesia,,1988,10743,2535
Micronesia,,1989,11026,2608
Micronesia,,1990,11292,2685
Micronesia,,1991,11542,2766
Micronesia,,1992,11771,2848
Micronesia,,1993,11971,2928
Micronesia,,1994,12127,3006
Micronesia,,1995,12234,3085
Micronesia,,1996,12299,3168
Micronesia,,1997,12340,3366
Micronesia,,1998,12336,3490
Micronesia,,1999,12319,3562
Micronesia,,2000,12300,3601
Micronesia,,2001,12284,3617
Micronesia,,2002,12276,3620
Micronesia,,2003,12269,3614
Micronesia,,2004,12268,3601
Micronesia,,2005,12264,3584
Micronesia,,2006,12257,3565
Micronesia,,2007,12252,3545
Micronesia,,2008,12261,3528
Micronesia,,2009,12297,3517
Micronesia,,2010,12362,3516
Micronesia,,2011,12458,3524
Micronesia,,2012,12579,3542
Moldova,MDA,1980,658693,98519
Moldova,MDA,1981,667784,98903
Moldova,MDA,1982,677697,99522
Moldova,MDA,1983,687103,100173
Moldova,MDA,1984,695324,100605
Moldova,MDA,1985,700853,100457
Moldova,MDA,1986,707060,100286
Moldova,MDA,1987,712075,99858
Moldova,MDA,1988,716669,99315
Moldova,MDA,1989,722030,98720
Moldova,MDA,1990,725814,97833
Moldova,MDA,1991,721035,95687
Moldova,MDA,1992,704627,91884
Moldova,MDA,1993,689546,88303
Moldova,MDA,1994,668321,84067
Moldova,MDA,1995,647924,80250
Moldova,MDA,1996,629806,77131
Moldova,MDA,1997,600352,73807
Moldova,MDA,1998,574840,71326
Moldova,MDA,1999,553403,69521
Moldova,MDA,2000,537858,68406
Moldova,MDA,2001,527769,67810
Moldova,MDA,2002,522396,67498
Moldova,MDA,2003,519984,67260
Moldova,MDA,2004,520341,67215
Moldova,MDA,2005,523681,67420
Moldova,MDA,2006,516896,66568
Moldova,MDA,2007,511049,66125
Moldova,MDA,2008,509565,66426
Moldova,MDA,2009,507855,66909
Moldova,MDA,2010,510601,67851
Moldova,MDA,2011,524585,69937
Moldova,MDA,2012,539830,72125
Mongolia,MNG,1980,175479,23476
Mongolia,MNG,1981,181508,24102
Mongolia,MNG,1982,188062,24826
Mongolia,MNG,1983,194886,25614
Mongolia,MNG,1984,202222,26459
Mongolia,MNG,1985,210143,27368
Mongolia,MNG,1986,218681,28361
Mongolia,MNG,1987,227742,29385
Mongolia,MNG,1988,236856,30371
Mongolia,MNG,1989,245363,31235
Mongolia,MNG,1990,252717,31945
Mongolia,MNG,1991,258528,32466
Mongolia,MNG,1992,262888,32786
Mongolia,MNG,1993,266607,32981
Mongolia,MNG,1994,270468,33235
Mongolia,MNG,1995,275385,33545
Mongolia,MNG,1996,281083,33905
Mongolia,MNG,1997,288142,34361
Mongolia,MNG,1998,296026,34991
Mongolia,MNG,1999,304607,35795
Mongolia,MNG,2000,314526,36732
Mongolia,MNG,2001,324822,37835
Mongolia,MNG,2002,335611,39160
Mongolia,MNG,2003,346969,40700
Mongolia,MNG,2004,359123,42398
Mongolia,MNG,2005,371508,44209
Mongolia,MNG,2006,382308,46391
Mongolia,MNG,2007,393681,48754
Mongolia,MNG,2008,406026,51304
Mongolia,MNG,2009,417840,53915
Mongolia,MNG,2010,430440,56230
Mongolia,MNG,2011,443930,58658
Mongolia,MNG,2012,457807,61124
Montenegro,MNE,1980,71580,41055
Montenegro,MNE,1981,72648,41407
Montenegro,MNE,1982,73771,41904
Montenegro,MNE,1983,74873,42448
Montenegro,MNE,1984,75905,42929
Montenegro,MNE,1985,76777,43321
Montenegro,MNE,1986,77477,43578
Montenegro,MNE,1987,78037,43716
Montenegro,MNE,1988,78456,43807
Montenegro,MNE,1989,78749,43919
Montenegro,MNE,1990,78974,44093
Montenegro,MNE,1991,79351,44404
Montenegro,MNE,1992,80101,44877
Montenegro,MNE,1993,81369,45510
Montenegro,MNE,1994,82621,46073
Montenegro,MNE,1995,83649,46530
Montenegro,MNE,1996,84107,46786
Montenegro,MNE,1997,84341,47207
Montenegro,MNE,1998,84460,47603
Montenegro,MNE,1999,84859,48088
Montenegro,MNE,2000,85081,48484
Montenegro,MNE,2001,85333,48871
Montenegro,MNE,2002,85614,49219
Montenegro,MNE,2003,85906,49531
Montenegro,MNE,2004,86144,49769
Montenegro,MNE,2005,86262,49900
Montenegro,MNE,2006,86074,49872
Montenegro,MNE,2007,85580,49691
Montenegro,MNE,2008,84950,49431
Montenegro,MNE,2009,84630,49283
Montenegro,MNE,2010,84387,49185
Montenegro,MNE,2011,84188,49114
Montenegro,MNE,2012,84112,49099
Morocco,MAR,1980,1453334,42416
Morocco,MAR,1981,1498320,43437
Morocco,MAR,1982,1541941,44221
Morocco,MAR,1983,1591158,45096
Morocco,MAR,1984,1642601,45956
Morocco,MAR,1985,1694164,46776
Morocco,MAR,1986,1744636,47545
Morocco,MAR,1987,1800579,48412
Morocco,MAR,1988,1855330,49313
Morocco,MAR,1989,1910787,50213
Morocco,MAR,1990,1965785,51107
Morocco,MAR,1991,2019662,52007
Morocco,MAR,1992,2079639,52879
Morocco,MAR,1993,2141695,53740
Morocco,MAR,1994,2198459,54362
Morocco,MAR,1995,2262812,55137
Morocco,MAR,1996,2322226,55903
Morocco,MAR,1997,2381343,56745
Morocco,MAR,1998,2437719,57456
Morocco,MAR,1999,2496921,58263
Morocco,MAR,2000,2555551,59213
Morocco,MAR,2001,2599560,60762
Morocco,MAR,2002,2644966,62424
Morocco,MAR,2003,2685644,64442
Morocco,MAR,2004,2725317,66311
Morocco,MAR,2005,2766373,68429
Morocco,MAR,2006,2805699,70816
Morocco,MAR,2007,2845275,73902
Morocco,MAR,2008,2883098,77205
Morocco,MAR,2009,2923366,80706
Morocco,MAR,2010,2967681,84273
Morocco,MAR,2011,3017568,86890
Morocco,MAR,2012,3072380,89109
Mozambique,MOZ,1980,711447,125855
Mozambique,MOZ,1981,726308,128816
Mozambique,MOZ,1982,740189,131685
Mozambique,MOZ,1983,750240,134115
Mozambique,MOZ,1984,753833,135945
Mozambique,MOZ,1985,749355,136982
Mozambique,MOZ,1986,735032,137083
Mozambique,MOZ,1987,713865,136614
Mozambique,MOZ,1988,692100,136192
Mozambique,MOZ,1989,678956,136639
Mozambique,MOZ,1990,680376,138560
Mozambique,MOZ,1991,699214,142293
Mozambique,MOZ,1992,732086,147444
Mozambique,MOZ,1993,774265,153786
Mozambique,MOZ,1994,816955,160433
Mozambique,MOZ,1995,853828,166589
Mozambique,MOZ,1996,884308,172351
Mozambique,MOZ,1997,910450,178078
Mozambique,MOZ,1998,931169,183156
Mozambique,MOZ,1999,950120,187789
Mozambique,MOZ,2000,970130,192157
Mozambique,MOZ,2001,993342,196502
Mozambique,MOZ,2002,1019953,201064
Mozambique,MOZ,2003,1050362,205933
Mozambique,MOZ,2004,1089873,213253
Mozambique,MOZ,2005,1129904,220489
Mozambique,MOZ,2006,1156150,224299
Mozambique,MOZ,2007,1176687,227386
Mozambique,MOZ,2008,1193035,229979
Mozambique,MOZ,2009,1207821,232116
Mozambique,MOZ,2010,1223055,234219
Mozambique,MOZ,2011,1241840,237129
Mozambique,MOZ,2012,1273973,241271
Myanmar,MMR,1980,3723164,646665
Myanmar,MMR,1981,3821244,660068
Myanmar,MMR,1982,3919336,673139
Myanmar,MMR,1983,4018443,686174
Myanmar,MMR,1984,4116208,698923
Myanmar,MMR,1985,4216168,711971
Myanmar,MMR,1986,4323372,725858
Myanmar,MMR,1987,4444677,740890
Myanmar,MMR,1988,4589797,759416
Myanmar,MMR,1989,4730633,777269
Myanmar,MMR,1990,4869873,794558
Myanmar,MMR,1991,5012200,812658
Myanmar,MMR,1992,5134617,829018
Myanmar,MMR,1993,5246303,844947
Myanmar,MMR,1994,5341408,858616
Myanmar,MMR,1995,5426931,871854
Myanmar,MMR,1996,5504910,886081
Myanmar,MMR,1997,5567156,913340
Myanmar,MMR,1998,5626432,940438
Myanmar,MMR,1999,5662159,967971
Myanmar,MMR,2000,5666036,999186
Myanmar,MMR,2001,5647480,1036872
Myanmar,MMR,2002,5609960,1131352
Myanmar,MMR,2003,5561261,1222371
Myanmar,MMR,2004,5516809,1242565
Myanmar,MMR,2005,5481411,1243969
Myanmar,MMR,2006,5457283,1232929
Myanmar,MMR,2007,5447578,1214211
Myanmar,MMR,2008,5466692,1195624
Myanmar,MMR,2009,5504574,1182484
Myanmar,MMR,2010,5550158,1184596
Myanmar,MMR,2011,5606504,1195739
Myanmar,MMR,2012,5672548,1213455
Namibia,NAM,1980,65675,29561
Namibia,NAM,1981,66188,30104
Namibia,NAM,1982,66860,30704
Namibia,NAM,1983,67932,31430
Namibia,NAM,1984,69718,32378
Namibia,NAM,1985,72475,33623
Namibia,NAM,1986,76301,35213
Namibia,NAM,1987,81045,37086
Namibia,NAM,1988,86444,39187
Namibia,NAM,1989,92005,41358
Namibia,NAM,1990,97322,43470
Namibia,NAM,1991,102231,45451
Namibia,NAM,1992,106745,47320
Namibia,NAM,1993,111186,49163
Namibia,NAM,1994,115670,51024
Namibia,NAM,1995,120371,52960
Namibia,NAM,1996,125380,54896
Namibia,NAM,1997,128963,55974
